category,company_name,street,suburb,state,code,country,phone,website,mobile,toll_free,fax,abn,postal_address,email,latitude,longitude
Chemists--Consulting & Industrial,Paint Consultant Services Pty Ltd,30 The Terrace,Watanobbi,NSW,2259,,,,0414 999 121,,,,"PO Box 550, Sutherland NSW 1499",,-33.263328,151.426074
Chemists--Consulting & Industrial,Amdel Limited,99 Mitchell Rd,Cardiff,NSW,2285,,(02) 4902 4800,,,,,,,,-32.94425,151.64109
Chemists--Consulting & Industrial,RCA Laboratories Environmental,92 Hill St,Carrington,NSW,2294,,(02) 4902 9200,http://www.rca.com.au,,,(02) 4902 9299,,,,-32.914914,151.767413
Chemists--Consulting & Industrial,Abermain PharmacyDirections,193 Cessnock Rd,Abermain,NSW,2326,,(02) 4930 4442,,,,,,,,-32.810687,151.43279
Chemists--Consulting & Industrial,ALS Coal Division,Cnr Hebden Rd & New England Hwy,Ravensworth,NSW,2330,,(02) 6542 2400,,,,,,,,-32.440976,151.054982
Chemists--Consulting & Industrial,J & M Specialized Products Pty Ltd,230 Putta Rd,Upper Lansdowne,NSW,2430,,(02) 6556 9004,,,,,,,,-31.789216,152.451914
Chemists--Consulting & Industrial,Williams Bill Chemist,47 Walker St,Casino,NSW,2470,,(02) 6662 7191,,,,,,,bill.williams@nrit.com.au,-28.864834,153.048234
Chemists--Consulting & Industrial,Australian Chemical Research The,47 Fleurs St,Minchinbury,NSW,2770,,(02) 9625 0300,,,,,,,,-33.78909,150.84366
Chemists--Consulting & Industrial,geeks R good,10a/ 31 Thompson St,Bowen Hills,QLD,4006,,(07) 3852 6755,,,,,,,,-27.44095,153.04107
Chemists--Consulting & Industrial,Azpa Technology Pty Ltd,18 Turner St,Scarborough,QLD,4020,,(07) 3118 5949,,,,,,,,-27.20834,153.111
Chemists--Consulting & Industrial,geeksRgood,,Chermside Centre,QLD,4032,,,,0417 572 609,,,,,,-27.3808935666,153.031468344
Chemists--Consulting & Industrial,ALS Group,32 Shand St,Stafford,QLD,4053,,(07) 3243 7222,http://www.alsglobal.com,,,,,,,-27.41238,153.00775
Chemists--Consulting & Industrial,ALS Group,32 Shand St,Stafford,QLD,4053,,(07) 3243 7222,,,,,,,,-27.412383,153.007747
Chemists--Consulting & Industrial,Brisbane Clinic Nutrional Medicine,Ste60/ 283 Given Tce,Paddington,QLD,4064,,(07) 3217 6888,,,,,,,,-27.46053,153.00378
Chemists--Consulting & Industrial,J Chem Consultants,21 Wiseman St,Kenmore,QLD,4069,,(07) 3378 4148,,,,,,,,-27.51617,152.93982
Chemists--Consulting & Industrial,QHSS,39 Kessels Rd,Coopers Plains,QLD,4108,,(07) 3274 9111,,,,,,,,-27.5579,153.044355
Chemists--Consulting & Industrial,Samios Pharmacy,565 Beenleigh Rd,Sunnybank Hills,QLD,4109,,(07) 3345 2910,http://samiospharmacy.com/,,,,,,samiospharmacy@gmail.com,-27.586053,153.056722
Chemists--Consulting & Industrial,Ormeau Amcal,19 Peachey Rd,Ormeau,QLD,4208,,(07) 5546 6111,,,,,,,,-27.786185,153.252242
Chemists--Consulting & Industrial,Agrisolutions Australia Pty Ltd,75 Thompson St,Deception Bay,QLD,4508,,(07) 3293 2288,,,,,,,,-27.17925,153.01821
Chemists--Consulting & Industrial,Miriam Vale Pharmacy,4/ 27 Blomfield St,Miriam Vale,QLD,4677,,(07) 4974 5921,,,,,,,,-24.328802,151.561617
Chemists--Consulting & Industrial,SGS Minerals/Environmental,104 Hanson Rd,Gladstone,QLD,4680,,(07) 4972 6591,,,,,,,,-23.84093,151.23977
Chemists--Consulting & Industrial,SGS Minerals/Environmental,104 Hansen Rd,Gladstone,QLD,4680,,(07) 4972 6591,,,,,,,,-23.840928,151.239767
Chemists--Consulting & Industrial,North Queensland Analytical,61 Haynes Rd,Jensen,QLD,4818,,(07) 4751 6674,,,,,,,,-19.26355,146.645264
Chemists--Consulting & Industrial,ChemSkill,"Level 1, 379 Collins St",Melbourne,VIC,3000,,(03) 9516 0100,,,,,,,,-37.81689,144.96195
Chemists--Consulting & Industrial,ACS Laboratories (Australia),"C/O Victoria University (Footscray Campus), Building G, Lvl 6, Rm 619, Ballarat Road",Footscray,VIC,3011,,(03) 9919 4984,,,,,,,,-37.7997758005,144.969374588
Chemists--Consulting & Industrial,ACS Laboratories (Australia),37 Stubbs St,Kensington,VIC,3031,,(03) 9220 0115,http://www.acslab.com.au,,,,,,,-37.789457,144.936021
Chemists--Consulting & Industrial,Novotech (Australia) Pty Ltd,,Carlton,VIC,3053,,393411900,,,,,,,,-37.8007673,144.9672087
Chemists--Consulting & Industrial,Food Laboratories (AUST) P/L,2/ 1G Marine Pde,Abbotsford,VIC,3067,,(03) 9417 0555,,,,,,,,-37.80334,144.99737
Chemists--Consulting & Industrial,RX Connect International Pty Ltd,Ste6/ 651 Victoria St,Abbotsford,VIC,3067,,(03) 9429 3897,,,,,,,,-37.810715,145.011054
Chemists--Consulting & Industrial,Surface Tech Industries,34 Meander Rd,Hurstbridge,VIC,3099,,(03) 9718 2462,,,,,,,,-37.63478,145.18778
Chemists--Consulting & Industrial,ECC Pty Ltd,"Level 1, 677 High St",Kew East,VIC,3102,,(03) 9820 1887,,,,,,,,-37.797899,145.053064
Chemists--Consulting & Industrial,Sharp & Howells P/L,33 Greenaway St,Bulleen,VIC,3105,,(03) 9850 9722,,,,,,,,-37.7634,145.08167
Chemists--Consulting & Industrial,EML (Chem) Pty Ltd,417- 431 Canterbury Rd,Surrey Hills,VIC,3127,,(03) 9836 1999,,,,,,,,-37.82486,145.09051
Chemists--Consulting & Industrial,Engelhardt Consulting Services Pty Ltd,20 Viviani Crs,Heathmont,VIC,3135,,(03) 9870 2711,,,,,,,,-37.82994,145.24256
Chemists--Consulting & Industrial,Chemicalia Pty Ltd,7 Cremin Crt,Mt Waverley,VIC,3149,,(03) 9543 1587,,,,,,,,-37.8942,145.1228
Chemists--Consulting & Industrial,Polymer Craft,Factory5/ 78-80 Bayfield Rd,Bayswater North,VIC,3153,,(03) 9729 8844,,,,,,,,-37.82497,145.27796
Chemists--Consulting & Industrial,HRL Technology,677 Springvale Rd,Mulgrave,VIC,3170,,(03) 9565 9888,http://www.hrlt.com.au,,,,,,,-37.91346,145.156
Chemists--Consulting & Industrial,ALS Group,2- 4 Westall Rd,Springvale,VIC,3171,,(03) 8549 9600,,,,,,,,-37.93225,145.1426
Chemists--Consulting & Industrial,Scientific Testing & Applied Technical Services Pty Ltd,230 North Rd,Brighton East,VIC,3187,,(03) 9596 3257,,,,,,,,-37.90056,145.01204
Chemists--Consulting & Industrial,Skipton Pharmacy,28 Montgomery St,Skipton,VIC,3361,,(03) 5340 2220,,,,,,,skiptonpharmacy@hotmail.com,-37.685628,143.365629
Chemists--Consulting & Industrial,Mark Technologies Pty Ltd,7 Sir Harold Cl,Endeavour Hills,VIC,3802,,(03) 9700 3352,,,,,,,,-37.97708,145.26479
Chemists--Consulting & Industrial,Amdel,,Thebarton,SA,5031,,(08) 8416 5200,,,,,,,,-34.9170457,138.5674456
Chemists--Consulting & Industrial,ALS Group,Unit 1/ 1 Burma Rd,Pooraka,SA,5095,,(08) 8359 0890,http://www.alsglobal.com,,,,,,,-34.83115,138.60447
Chemists--Consulting & Industrial,Chemist Warehouse,1007 North East Rd,Ridgehaven,SA,5097,,(08) 8264 6597,http://www.chemistwarehouse.com.au/,,,,,,,-34.82701,138.694357
Chemists--Consulting & Industrial,ALS Metallurgy,6 MacAdam Pl,Balcatta,WA,6021,,(08) 9344 2416,,,,,,,,-31.860586,115.815883
Chemists--Consulting & Industrial,Central Chemical Consulting Pty Ltd,Unit 1/ 11 Narloo St,Malaga,WA,6090,,(08) 9248 2739,,,,,,,,-31.86282,115.90141
Chemists--Consulting & Industrial,ALS Group,31 Denninup Way,Malaga,WA,6090,,(08) 9347 3222,,,,,,,,-31.8487,115.88694
Chemists--Consulting & Industrial,Central Chemical Consulting Pty Ltd,Unit 1/ 11 Narloo St,Malaga,WA,6090,,(08) 9248 2739,http://www.chem.com.au,,,,,"PO Box 2546, Malaga WA 6090",central@chem.com.au,-31.862818,115.901414
Chemists--Consulting & Industrial,Chemistry Centre (WA),Cnr Manning Rd & South Entrance of Curtin University,Bentley,WA,6102,,(08) 9422 9800,,,,,,,,-32.0013223,115.9196193
Chemists--Consulting & Industrial,Arnofio,418 Welshpool Rd,Welshpool,WA,6106,,(08) 9358 3656,http://www.arnofio.com.au,0400 014 741,,,,,admin@arnofio.com.au,-32.001352,115.968267
Chemists--Consulting & Industrial,National Measurement Institute,26 Dick Perry Ave,Kensington,WA,6151,,(08) 9368 8400,http://www.measurement.gov.au,,1800 020 076,(08) 9384 1132,,,customerservice@measurement.gov.au,-31.99507,115.8845
Chemists--Consulting & Industrial,Inman & Farrell,38 Clark Crt,Bibra Lake,WA,6163,,(08) 9248 2676,,,,,,,,-32.100643,115.806411
Chemists--Consulting & Industrial,Emission Assessments Pty Ltd,Unit 6/ 35 Sustainable Ave,Bibra Lake,WA,6163,,(08) 9494 2958,http://www.emissionassessments.com.au,,,(08) 9494 2959,,,science@emissionassessments.com.au,-32.101911,115.812675
Chemists--Consulting & Industrial,Agrifood Technology,38 Clark Crt,Bibra Lake,WA,6163,,(08) 9418 5333,http://www.agrifood.com.au/,,,,,,lab.wa@agrifood.com.au,-32.100643,115.806411
Chemists--Consulting & Industrial,Agrifood Technology,38 Clark Crt,Bibra Lake,WA,6163,,(08) 9418 5333,,,,,,,,-32.100643,115.806411
Chemists--Consulting & Industrial,R & A Consultants,17 La Seyne Crs,Warnbro,WA,6169,,(08) 9593 5500,,,,,,,,-32.3371,115.7469
Chemists--Consulting & Industrial,Allison Laboratories,4 Warwick St,Hobart,TAS,7000,,(03) 6234 7681,http://www.allisonlabs.com.au,,,,,,,-42.8739,147.32431
Chemists--Consulting & Industrial,Novost Pty Ltd,7 Wendover Pl,New Town,TAS,7008,,,,0408 129 733,,,,,,-42.97598,147.30689
Chemists--Consulting & Industrial,Harrison John B.Sc. B.Ec. FCPA FAICD,497 Main Rd,Montrose,TAS,7010,,(03) 6271 3051,,,,,,,,-42.827113,147.267887
Chemists--Consulting & Industrial,Hundalee Pty Ltd,244 Sugarloaf Rd,Carlton River,TAS,7173,,(03) 6265 7243,,,,,,,,-42.841462,147.681332
Chemists--Consulting & Industrial,ALS Metallurgy,39 River Rd,Burnie,TAS,7320,,(03) 6431 6333,,,,,,,,-41.074442,145.924988
Chemists--Consulting & Industrial,ALS Minerals,39 River Rd,Burnie,TAS,7320,,(03) 6431 6333,,,,,,,,-41.074442,145.924988
Pharmacies,Terry White Chemists,"Shop 3071, Westfield Bondi Junction",Bondi Junction,NSW,1355,,(02) 9389 6560,,,,,,,,-33.891296,151.249904
Pharmacies,Harbourside Pharmacy,111 Harbourside Shopping Centr,Darling Harbour,NSW,2000,,(02) 9281 4077,,,,,,,,-33.871109,151.198801
Pharmacies,Market City Pharmacy,"Shop R/127, Lvl 1 Market City Bldng, Above Paddy's Market, Ultimo Rd",Haymarket,NSW,2000,,(02) 9212 3722,,,,,,,,-33.8803,151.20318
Pharmacies,Day & Night Convenience Store,700 George St,Haymarket,NSW,2000,,(02) 9211 0059,,,,,,,,-33.878077,151.205629
Pharmacies,Railway Square Pharmacy,"Shop 9, Henry Deane Railway Plaza, 2 Lee St",Railway Square,NSW,2000,,(02) 9212 5506,,,,,,,,-33.883783,151.204322
Pharmacies,Tianda Pharmaceuticals (Australia) Pty Ltd,Gateway Lvl17/ 1 Macquarrie Pl,Sydney,NSW,2000,,(02) 9251 9001,,,,,,,,-33.85906,151.21344
Pharmacies,Fays Pharmacy,289 Kent St,Sydney,NSW,2000,,(02) 9299 7003,,,,,,,,-33.86595,151.20389
Pharmacies,St James Pharmacies,Shp 9/ 111 Elizabeth St,Sydney,NSW,2000,,(02) 9231 4554,,,,,,,,-33.86981,151.21027
Pharmacies,Healthescript Pharmacy,Gateway Building Shp508/ 1 Macquarie Pl,Sydney,NSW,2000,,(02) 9241 1835,,,,,,,,-33.86203,151.20987
Pharmacies,CBD Pharmacies,92 Pitt St,Sydney,NSW,2000,,(02) 9221 0180,,,,,,,,-33.86716,151.20879
Pharmacies,Health Line Pharmacy,111 York St,Sydney,NSW,2000,,(02) 9261 5339,,,,,,,,-33.87116,151.20607
Pharmacies,Pavillion Pharmacy,580 George St,Sydney,NSW,2000,,(02) 9264 7779,,,,,,,,-33.87469,151.20667
Pharmacies,Glover Chemist,"RG 31, The Galeries Victoria, Pitt St",Sydney,NSW,2000,,(02) 9267 0233,,,,,,,,-33.87216,151.20695
Pharmacies,Health Line Pharmacy,"Shop 1, 66 King St",Sydney,NSW,2000,,(02) 9299 8650,,,,,,,,-33.86852,151.20631
Pharmacies,MLC Centre Pharmacy,Shop 6.30 MLC Centre,Sydney,NSW,2000,,(02) 9233 1338,,,,,,,citypharcmacymlc@nunet.com.au,-33.86811,151.20978
Pharmacies,St James Pharmacy,Shop 9/ 111 Elizabeth St,Sydney,NSW,2000,,(02) 9231 2662,,,,,,,,-33.86981,151.21027
Pharmacies,Health Line Pharmacy,"Shop 1, 261 George St",Sydney,NSW,2000,,(02) 9247 5566,,,,,,,,-33.86449,151.20716
Pharmacies,CBD Pharmacies,92 Pitt St,Sydney,NSW,2000,,(02) 9221 0091,,,,,,,,-33.86716,151.20879
Pharmacies,Pharmacy 4 Less,"Shop 16, 2 Lee St",Sydney,NSW,2000,,(02) 9212 5506,,,,,,,,-33.883783,151.204322
Pharmacies,Macquarie Street Pharmacy,195 Macquarie St,Sydney,NSW,2000,,(02) 9221 1622,,,,(02) 9221 1296,,,macquarie.st.pharmacy@bigpond.com.au,-33.86719,151.21202
Pharmacies,Instigo,Lvl 8/ 217 Clarence St,Sydney,NSW,2000,,(02) 9248 2600,,,,,,,,-33.87015,151.205223
Pharmacies,Pharmeasy,"Unit 601, 28 Margaret St",Sydney,NSW,2000,,(02) 8270 1100,,,,,,,,-33.86486,151.20504
Pharmacies,Central Railway Pharmacy,"Chalmers St Entrance,Central Station Sydney",Sydney,NSW,2000,,(02) 9211 4117,,,,,,,,-33.883903,151.208175
Pharmacies,Chifley Plaza Pharmacy,Shop: 29 2 Chifley Sq,Sydney,NSW,2000,,(02) 9232 3126,,,,,,,,-33.86643,151.21155
Pharmacies,Health Line Pharmacy,"Shop 2, 50 Bridge St",Sydney,NSW,2000,,(02) 9231 1072,,,,,,,,-33.86337,151.21143
Pharmacies,Strand Pharmacy,Shop 103 The Strand Arcade 412-414 George St,Sydney,NSW,2000,,(02) 9221 9119,,,,,,,,-33.869399,151.208172
Pharmacies,Colonial Centre Pharmacy,Shp 12/ 52 Martin Pl,Sydney,NSW,2000,,(02) 9232 7912,,,,,,,,-33.86782,151.21096
Pharmacies,City Pharmacy - MLC Centre,Shop 6.30 MLC Cntr,Sydney,NSW,2000,,(02) 9233 1338,,,,(02) 9233 1975,,,citypharmacymlc@nunet.com.au,-33.86811,151.20978
Pharmacies,Pulse Pharmacy,"Shop 87, QVB Walk, Queen Victoria Building, George St",Sydney,NSW,2000,,(02) 9261 2448,,,,,,,,-33.871987,151.206988
Pharmacies,Peterson's Pharmacy,Town Hall Square Shop 4 George St,Sydney,NSW,2000,,(02) 9264 8928,,,,,,,,-33.8695080322,151.206926543
Pharmacies,Pulse Pharmacy QVB,"Shop 87, QVB Walk, Queen Victoria Building, George St,",Sydney,NSW,2000,,(02) 9261 2448,,,,,,,,-33.871987,151.206988
Pharmacies,Haymarket Pharmacy,647 George St,Sydney,NSW,2000,,(02) 9212 3608,,,,,,,,-33.87874,151.20512
Pharmacies,M L C Centre Pharmacy,Shop 6.30 MLC Centre,Sydney,NSW,2000,,(02) 9233 1338,,,,,,,,-33.86811,151.20978
Pharmacies,Railway Square Chemist,"Shop 9, Henry Deane Plaza, 2 Lee St",Sydney,NSW,2000,,(02) 9212 5506,,,,,,,,-33.883783,151.204322
